pipeline,resource,organisation,value,entity
area-of-outstanding-natural-beauty,,government-organisation:PB202,11,1000000
area-of-outstanding-natural-beauty,,government-organisation:PB202,17,1000001
area-of-outstanding-natural-beauty,,government-organisation:PB202,21,1000002
area-of-outstanding-natural-beauty,,government-organisation:PB202,7,1000003
area-of-outstanding-natural-beauty,,government-organisation:PB202,14,1000004
area-of-outstanding-natural-beauty,,government-organisation:PB202,4,1000005
area-of-outstanding-natural-beauty,,government-organisation:PB202,26,1000006
area-of-outstanding-natural-beauty,,government-organisation:PB202,9,1000007
area-of-outstanding-natural-beauty,,government-organisation:PB202,3,1000008
area-of-outstanding-natural-beauty,,government-organisation:PB202,19,1000009
area-of-outstanding-natural-beauty,,government-organisation:PB202,2,1000010
area-of-outstanding-natural-beauty,,government-organisation:PB202,16,1000011
area-of-outstanding-natural-beauty,,government-organisation:PB202,30,1000012
area-of-outstanding-natural-beauty,,government-organisation:PB202,18,1000013
area-of-outstanding-natural-beauty,,government-organisation:PB202,22,1000014
area-of-outstanding-natural-beauty,,government-organisation:PB202,24,1000015
area-of-outstanding-natural-beauty,,government-organisation:PB202,25,1000016
area-of-outstanding-natural-beauty,,government-organisation:PB202,31,1000017
area-of-outstanding-natural-beauty,,government-organisation:PB202,28,1000018
area-of-outstanding-natural-beauty,,government-organisation:PB202,15,1000019
area-of-outstanding-natural-beauty,,government-organisation:PB202,8,1000020
area-of-outstanding-natural-beauty,,government-organisation:PB202,20,1000021
area-of-outstanding-natural-beauty,,government-organisation:PB202,23,1000022
area-of-outstanding-natural-beauty,,government-organisation:PB202,37,1000023
area-of-outstanding-natural-beauty,,government-organisation:PB202,1,1000024
area-of-outstanding-natural-beauty,,government-organisation:PB202,34,1000025
area-of-outstanding-natural-beauty,,government-organisation:PB202,36,1000026
area-of-outstanding-natural-beauty,,government-organisation:PB202,29,1000027
area-of-outstanding-natural-beauty,,government-organisation:PB202,6,1000028
area-of-outstanding-natural-beauty,,government-organisation:PB202,13,1000029
area-of-outstanding-natural-beauty,,government-organisation:PB202,33,1000030
area-of-outstanding-natural-beauty,,government-organisation:PB202,5,1000031
area-of-outstanding-natural-beauty,,government-organisation:PB202,10,1000032
area-of-outstanding-natural-beauty,,government-organisation:PB202,27,1000033
